,x,y,z
107,0.00961111111111111,-0.3287,0.173
108,0.011600000000000001,-0.33059999999999995,0.174
109,0.01361111111111111,-0.33249999999999996,0.175
110,0.015644444444444443,-0.3344,0.176
111,0.017599999999999998,-0.3344,0.176
112,0.01955555555555555,-0.3344,0.176
113,0.02163333333333333,-0.3363,0.177
114,0.023599999999999996,-0.3363,0.177
115,0.025566666666666665,-0.3363,0.177
116,0.02753333333333333,-0.3363,0.177
117,0.0295,-0.3363,0.177
118,0.031466666666666664,-0.3363,0.177
119,0.03343333333333333,-0.3363,0.177
120,0.035199999999999995,-0.3344,0.176
121,0.03715555555555555,-0.3344,0.176
122,0.0391111111111111,-0.3344,0.176
123,0.04083333333333333,-0.33249999999999996,0.175
124,0.04228888888888888,-0.3287,0.173
125,0.043188888888888895,-0.3211,0.169
126,0.044,-0.3135,0.165
127,0.04527777777777778,-0.30970000000000003,0.163
128,0.047088888888888895,-0.30970000000000003,0.163
129,0.048600000000000004,-0.3078,0.162
130,0.04853333333333334,-0.2964,0.156
131,0.04156666666666667,-0.2451,0.129
132,0.03766666666666667,-0.2147,0.113
133,0.02927777777777778,-0.16150000000000003,0.085
134,0.0067555555555555554,-0.0361,0.019
135,-0.0003,-0.005666666666666667,0.003
136,-0.006666666666666666,-0.14166666666666666,0.075
137,-0.009877777777777779,-0.23988888888888887,0.127
138,-0.010533333333333332,-0.29844444444444446,0.158
139,-0.009277777777777779,-0.31544444444444447,0.167
140,-0.007555555555555556,-0.3211111111111111,0.17
141,-0.005666666666666667,-0.3211111111111111,0.17
142,-0.003844444444444444,-0.3267777777777777,0.173
143,-0.001922222222222222,-0.3267777777777777,0.173
144,0.0,-0.3267777777777777,0.173
145,0.0019333333333333331,-0.32866666666666666,0.174
146,0.0038666666666666663,-0.32866666666666666,0.174
147,0.0058000000000000005,-0.32866666666666666,0.174
148,0.0077333333333333325,-0.32866666666666666,0.174
149,0.009722222222222222,-0.3305555555555555,0.175
150,0.011666666666666665,-0.3305555555555555,0.175
151,0.01368888888888889,-0.33244444444444443,0.176
152,0.015733333333333332,-0.3343333333333333,0.177
153,0.0177,-0.3343333333333333,0.177
154,0.019666666666666666,-0.3343333333333333,0.177
155,0.021755555555555556,-0.3362222222222222,0.178
156,0.023733333333333335,-0.3362222222222222,0.178
157,0.025855555555555555,-0.3381111111111111,0.179
158,0.027844444444444442,-0.3381111111111111,0.179
159,0.029833333333333333,-0.3381111111111111,0.179
160,0.031822222222222224,-0.3381111111111111,0.179
