,one,two,three
628,325,363,362
629,326,327,364
630,326,364,363
631,327,328,365
632,327,365,364
633,328,329,366
634,328,366,365
635,329,330,367
636,329,367,366
637,330,331,368
638,330,368,367
639,331,332,369
640,331,369,368
641,332,333,370
642,332,370,369
643,333,334,371
644,333,371,370
645,334,335,372
646,334,372,371
647,335,336,373
648,335,373,372
649,336,337,374
650,336,374,373
651,337,338,375
652,337,375,374
653,338,339,376
654,338,376,375
655,339,340,377
656,339,377,376
657,340,341,378
658,340,378,377
659,341,342,379
660,341,379,378
661,342,343,380
662,342,380,379
663,343,344,381
664,343,381,380
665,344,345,382
666,344,382,381
667,345,346,383
668,345,383,382
669,346,347,384
670,346,384,383
671,347,348,385
672,347,385,384
673,348,349,386
674,348,386,385
675,349,350,387
676,349,387,386
677,350,351,388
678,350,388,387
679,351,389,388
680,352,393,392
681,353,354,400
682,354,355,401
683,354,401,400
684,355,356,402
685,355,402,401
686,356,357,403
687,356,403,402
688,357,358,404
689,357,404,403
690,358,359,405
691,358,405,404
692,359,360,406
693,359,406,405
694,360,361,407
695,360,407,406
696,361,362,408
697,361,408,407
698,362,363,409
699,362,409,408
700,363,364,410
701,363,410,409
702,364,365,411
703,364,411,410
704,365,366,412
705,365,412,411
706,366,367,413
707,366,413,412
708,367,368,414
709,367,414,413
710,368,369,415
711,368,415,414
712,369,370,416
713,369,416,415
714,370,371,417
715,370,417,416
716,371,372,418
717,371,418,417
718,372,373,419
719,372,419,418
720,373,374,420
721,373,420,419
722,374,375,421
723,374,421,420
724,375,376,422
725,375,422,421
726,376,377,423
727,376,423,422
728,377,378,424
729,377,424,423
730,378,379,425
731,378,425,424
732,379,380,426
733,379,426,425
734,380,381,427
735,380,427,426
736,381,382,428
737,381,428,427
738,382,383,429
739,382,429,428
740,383,384,430
741,383,430,429
742,384,385,431
743,384,431,430
744,385,386,432
745,385,432,431
746,386,387,433
747,386,433,432
748,387,388,434
749,387,434,433
750,388,389,435
751,388,435,434
752,389,390,436
753,389,436,435
754,390,391,437
755,390,437,436
756,391,392,438
757,391,438,437
758,392,393,439
759,392,439,438
760,393,394,440
761,393,440,439
762,394,395,441
763,394,441,440
764,395,396,442
765,395,442,441
766,396,397,443
767,396,443,442
768,397,398,444
769,397,444,443
770,398,399,445
771,398,445,444
772,399,446,445
773,401,402,448
774,402,403,449
775,402,449,448
776,403,404,450
777,403,450,449
778,404,405,451
779,404,451,450
780,405,406,452
781,405,452,451
782,406,407,453
783,406,453,452
784,407,408,454
785,407,454,453
786,408,409,455
787,408,455,454
788,409,410,456
789,409,456,455
790,413,414,457
791,414,415,458
792,414,458,457
793,415,416,459
794,415,459,458
795,416,417,460
796,416,460,459
797,417,418,461
798,417,461,460
799,418,419,462
800,418,462,461
801,419,420,463
802,419,463,462
803,420,421,464
804,420,464,463
805,421,422,465
806,421,465,464
807,422,423,466
808,422,466,465
809,423,424,467
810,423,467,466
811,424,425,468
812,424,468,467
813,425,426,469
814,425,469,468
815,426,427,470
816,426,470,469
817,427,428,471
818,427,471,470
819,428,429,472
820,428,472,471
821,429,430,473
822,429,473,472
823,430,431,474
824,430,474,473
825,431,432,475
826,431,475,474
827,432,433,476
828,432,476,475
829,433,434,477
830,433,477,476
831,434,435,478
832,434,478,477
833,435,436,479
834,435,479,478
835,436,437,480
836,436,480,479
837,437,438,481
838,437,481,480
839,438,439,482
840,438,482,481
841,439,440,483
842,439,483,482
843,440,441,484
844,440,484,483
845,441,442,485
846,441,485,484
847,442,443,486
848,442,486,485
849,443,444,487
850,443,487,486
851,444,445,488
852,444,488,487
853,445,446,489
854,445,489,488
855,446,447,490
856,446,490,489
857,451,452,491
858,465,466,492
859,466,467,493
860,466,493,492
861,467,468,494
862,467,494,493
863,468,469,495
864,468,495,494
865,469,470,496
866,469,496,495
867,470,471,497
868,470,497,496
869,471,472,498
870,471,498,497
871,472,473,499
872,472,499,498
873,473,474,500
874,473,500,499
875,474,475,501
876,474,501,500
877,486,487,502
878,487,488,503
879,487,503,502
880,488,489,504
881,488,504,503
882,489,490,505
883,489,505,504
884,490,506,505
885,492,493,508
886,493,494,509
887,493,509,508
888,494,495,510
889,494,510,509
890,495,496,511
891,495,511,510
892,496,497,512
893,496,512,511
894,497,498,513
895,497,513,512
896,498,499,514
897,498,514,513
898,499,500,515
899,499,515,514
900,500,501,516
901,500,516,515
902,502,503,517
903,503,504,518
904,503,518,517
905,504,505,519
906,504,519,518
907,505,506,520
908,505,520,519
909,506,521,520
910,508,509,523
911,509,510,524
912,509,524,523
913,510,511,525
914,510,525,524
915,511,512,526
916,511,526,525
917,512,513,527
918,512,527,526
919,513,514,528
920,513,528,527
921,514,515,529
922,514,529,528
923,515,516,530
924,515,530,529
925,516,531,530
926,517,518,533
927,517,533,532
928,518,519,534
929,518,534,533
930,519,520,535
931,519,535,534
932,520,521,536
933,520,536,535
934,521,537,536
935,522,539,538
936,523,524,543
937,524,525,544
938,524,544,543
939,525,526,545
940,525,545,544
941,526,527,546
942,526,546,545
943,527,528,547
944,527,547,546
945,528,529,548
946,528,548,547
947,529,530,549
948,529,549,548
949,530,531,550
950,530,550,549
951,531,551,550
952,532,533,561
953,532,561,560
954,533,534,562
955,533,562,561
956,534,535,563
957,534,563,562
958,535,536,564
959,535,564,563
960,536,537,565
961,536,565,564
962,537,566,565
963,538,539,570
964,538,570,569
965,539,540,571
966,539,571,570
967,540,541,572
968,540,572,571
969,541,542,573
970,541,573,572
971,542,574,573
972,543,544,579
973,544,545,580
974,544,580,579
975,545,546,581
976,545,581,580
977,546,547,582
978,546,582,581
979,547,548,583
980,547,583,582
981,548,549,584
982,548,584,583
983,549,550,585
984,549,585,584
985,550,551,586
986,550,586,585
987,551,552,587
988,551,587,586
989,552,553,588
990,552,588,587
991,553,589,588
992,554,555,592
993,554,592,591
994,555,556,593
995,555,593,592
996,556,557,594
997,556,594,593
998,557,558,595
999,557,595,594
1000,558,559,596
1001,558,596,595
1002,559,560,597
1003,559,597,596
1004,560,561,598
1005,560,598,597
1006,561,562,599
1007,561,599,598
1008,562,563,600
1009,562,600,599
1010,563,564,601
1011,563,601,600
1012,564,565,602
1013,564,602,601
1014,565,566,603
1015,565,603,602
1016,566,567,604
1017,566,604,603
1018,567,605,604
1019,568,569,611
1020,569,570,612
1021,569,612,611
1022,570,571,613
1023,570,613,612
1024,571,572,614
1025,571,614,613
1026,572,573,615
1027,572,615,614
1028,573,574,616
1029,573,616,615
1030,574,575,617
1031,574,617,616
1032,575,576,618
1033,575,618,617
1034,576,577,619
1035,576,619,618
1036,577,578,620
1037,577,620,619
1038,579,580,621
1039,580,581,622
1040,580,622,621
1041,581,582,623
1042,581,623,622
1043,582,583,624
1044,582,624,623
1045,583,584,625
1046,583,625,624
1047,584,585,626
1048,584,626,625
1049,585,586,627
1050,585,627,626
1051,586,587,628
1052,586,628,627
1053,587,588,629
1054,587,629,628
1055,588,589,630
1056,588,630,629
1057,589,590,631
1058,589,631,630
1059,590,591,632
1060,590,632,631
1061,591,592,633
1062,591,633,632
1063,592,593,634
1064,592,634,633
1065,593,594,635
1066,593,635,634
1067,594,595,636
1068,594,636,635
1069,595,596,637
1070,595,637,636
1071,596,597,638
1072,596,638,637
1073,597,598,639
1074,597,639,638
1075,598,599,640
1076,598,640,639
1077,599,600,641
1078,599,641,640
1079,600,601,642
1080,600,642,641
1081,601,602,643
1082,601,643,642
1083,602,603,644
1084,602,644,643
1085,603,604,645
1086,603,645,644
1087,604,605,646
1088,604,646,645
1089,605,606,647
1090,605,647,646
1091,606,607,648
1092,606,648,647
1093,607,608,649
1094,607,649,648
1095,608,609,650
1096,608,650,649
1097,609,610,651
1098,609,651,650
1099,610,652,651
1100,612,613,653
1101,613,614,654
1102,613,654,653
1103,614,615,655
1104,614,655,654
1105,615,616,656
1106,615,656,655
1107,616,617,657
1108,616,657,656
1109,617,618,658
1110,617,658,657
1111,618,619,659
1112,618,659,658
1113,619,620,660
